Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH
05/04/2004,16.00.00,2.0,1273.0,245.0,9.6,963.0,98.0,832.0,82.0,1662.0,931.0,22.2,38.3,1.0106
25/03/2004,17.00.00,2.0,1102.0,143.0,9.4,957.0,120.0,968.0,88.0,1527.0,820.0,17.1,37.4,0.7225
25/03/2004,02.00.00,0.7,902.0,38.0,1.8,568.0,38.0,1450.0,54.0,1253.0,479.0,9.1,68.1,0.789
11/04/2004,08.00.00,1.1,912.0,88.0,3.7,694.0,61.0,1196.0,58.0,1343.0,727.0,8.7,64.3,0.7267
30/04/2004,06.00.00,1.7,1206.0,111.0,9.3,949.0,162.0,818.0,90.0,1771.0,1116.0,15.9,73.1,1.3136
16/03/2004,19.00.00,3.9,1551.0,261.0,19.1,1271.0,181.0,800.0,137.0,1875.0,1432.0,21.3,34.8,0.873
06/04/2004,21.00.00,1.8,1095.0,227.0,8.5,918.0,91.0,896.0,90.0,1527.0,800.0,15.7,49.4,0.8768
26/04/2004,16.00.00,1.5,984.0,133.0,6.4,832.0,91.0,1034.0,81.0,1410.0,636.0,20.0,32.7,0.7545
06/04/2004,00.00.00,1.0,1015.0,101.0,4.1,718.0,61.0,1065.0,71.0,1428.0,714.0,16.6,55.4,1.0408
12/03/2004,16.00.00,2.8,1309.0,165.0,12.7,1073.0,178.0,954.0,120.0,1657.0,1112.0,15.9,37.2,0.6657
10/04/2004,04.00.00,0.8,898.0,69.0,3.3,669.0,46.0,1163.0,52.0,1386.0,807.0,10.8,70.3,0.9092
15/03/2004,17.00.00,2.8,1445.0,214.0,14.8,1141.0,156.0,857.0,110.0,1824.0,1252.0,23.8,31.3,0.9137
26/04/2004,07.00.00,1.9,1053.0,155.0,7.5,880.0,116.0,982.0,91.0,1464.0,786.0,14.4,43.6,0.7113
13/03/2004,09.00.00,3.7,1408.0,239.0,15.1,1153.0,295.0,830.0,119.0,1777.0,1411.0,9.6,59.7,0.7124
27/04/2004,08.00.00,4.6,1461.0,633.0,23.8,1398.0,240.0,630.0,129.0,2050.0,1628.0,18.1,40.3,0.8294
28/03/2004,07.00.00,1.4,995.0,72.0,3.6,691.0,91.0,1219.0,69.0,1321.0,836.0,7.4,68.0,0.7043
03/04/2004,08.00.00,3.0,1436.0,451.0,15.2,1154.0,203.0,704.0,96.0,1872.0,1391.0,15.1,55.8,0.9486
11/03/2004,20.00.00,6.1,1640.0,401.0,24.0,1404.0,351.0,743.0,165.0,2191.0,1654.0,9.6,67.8,0.8133
28/03/2004,11.00.00,2.3,1210.0,188.0,9.5,958.0,126.0,933.0,96.0,1514.0,1036.0,19.2,31.3,0.6887
31/03/2004,12.00.00,2.9,1430.0,332.0,11.3,1025.0,204.0,779.0,123.0,1772.0,1166.0,12.3,73.3,1.0442
06/04/2004,12.00.00,2.6,1369.0,304.0,14.5,1132.0,136.0,715.0,91.0,1818.0,1162.0,20.9,36.6,0.8939
13/03/2004,02.00.00,1.6,1184.0,43.0,5.4,782.0,83.0,1176.0,82.0,1365.0,1043.0,8.8,63.9,0.7256
28/04/2004,19.00.00,5.4,1724.0,816.0,28.3,1510.0,222.0,562.0,155.0,2252.0,1716.0,23.1,42.2,1.1746
27/04/2004,23.00.00,2.0,1133.0,203.0,10.9,1012.0,111.0,806.0,108.0,1608.0,1054.0,17.9,43.5,0.884
27/03/2004,00.00.00,1.5,1021.0,77.0,5.2,776.0,94.0,1144.0,87.0,1307.0,753.0,9.4,53.4,0.63
01/04/2004,04.00.00,0.7,909.0,44.0,2.4,615.0,57.0,1237.0,49.0,1322.0,790.0,10.2,66.6,0.8299
12/04/2004,21.00.00,0.8,904.0,56.0,2.7,635.0,66.0,1269.0,74.0,1233.0,489.0,10.6,56.1,0.7149
11/04/2004,13.00.00,1.1,894.0,66.0,4.0,710.0,61.0,1209.0,70.0,1200.0,611.0,22.3,22.4,0.5955
13/04/2004,10.00.00,1.6,1020.0,144.0,7.3,871.0,133.0,956.0,93.0,1426.0,911.0,12.6,50.8,0.7387
11/03/2004,14.00.00,2.9,1371.0,164.0,11.5,1034.0,207.0,983.0,128.0,1730.0,1037.0,8.0,81.1,0.8736
14/04/2004,01.00.00,0.9,936.0,85.0,3.9,705.0,73.0,1086.0,73.0,1364.0,918.0,10.9,64.6,0.8395
06/04/2004,16.00.00,1.9,1143.0,226.0,10.3,988.0,109.0,849.0,98.0,1590.0,710.0,18.8,36.8,0.7883
14/03/2004,14.00.00,1.8,1207.0,84.0,7.5,879.0,103.0,1104.0,102.0,1490.0,872.0,21.4,30.2,0.7616
13/03/2004,14.00.00,2.0,1207.0,112.0,8.6,924.0,118.0,1088.0,102.0,1488.0,850.0,18.0,34.8,0.7127
07/04/2004,15.00.00,1.9,1177.0,117.0,7.5,880.0,146.0,927.0,104.0,1552.0,776.0,10.9,76.4,0.9953
13/04/2004,04.00.00,0.3,825.0,47.0,0.9,489.0,21.0,1565.0,28.0,1171.0,363.0,11.1,60.1,0.7925
01/04/2004,22.00.00,2.0,1186.0,188.0,9.9,976.0,127.0,844.0,113.0,1570.0,1200.0,15.8,48.0,0.8569
06/04/2004,23.00.00,1.1,1012.0,94.0,4.8,752.0,66.0,1053.0,74.0,1393.0,649.0,15.7,47.0,0.8325
23/03/2004,09.00.00,3.8,1498.0,535.0,21.0,1325.0,244.0,684.0,132.0,2095.0,1329.0,11.2,69.7,0.9232
29/03/2004,18.00.00,2.5,1173.0,299.0,10.2,985.0,126.0,905.0,114.0,1477.0,802.0,16.1,31.3,0.568
10/04/2004,09.00.00,2.0,1112.0,157.0,8.8,931.0,124.0,869.0,84.0,1588.0,1011.0,15.0,53.1,0.8993
25/03/2004,06.00.00,0.6,893.0,46.0,1.4,540.0,43.0,1604.0,51.0,1268.0,413.0,7.6,83.2,0.8695
05/04/2004,22.00.00,1.7,1196.0,160.0,7.7,885.0,85.0,884.0,89.0,1589.0,973.0,17.4,51.8,1.023
07/04/2004,21.00.00,1.2,956.0,62.0,3.2,666.0,62.0,1235.0,71.0,1282.0,518.0,9.8,71.8,0.8702
30/03/2004,00.00.00,1.0,899.0,33.0,2.6,630.0,57.0,1418.0,76.0,1050.0,425.0,13.1,26.8,0.4023
30/03/2004,12.00.00,3.7,1419.0,586.0,18.9,1267.0,219.0,742.0,138.0,1763.0,1490.0,20.8,22.5,0.5463
24/04/2004,15.00.00,1.7,1223.0,192.0,9.0,938.0,91.0,884.0,89.0,1610.0,880.0,25.6,36.0,1.1629
10/04/2004,02.00.00,1.7,1074.0,102.0,6.4,832.0,101.0,951.0,75.0,1507.0,980.0,11.4,69.8,0.939
23/03/2004,01.00.00,0.8,969.0,48.0,2.7,636.0,47.0,1271.0,64.0,1309.0,684.0,14.0,51.3,0.8163
16/04/2004,08.00.00,4.1,1406.0,546.0,18.7,1258.0,279.0,636.0,116.0,1890.0,1495.0,13.8,61.1,0.9595
01/04/2004,00.00.00,1.6,1143.0,106.0,6.3,825.0,96.0,986.0,86.0,1477.0,978.0,12.0,61.6,0.8593
18/03/2004,06.00.00,0.7,938.0,26.0,3.0,650.0,68.0,1251.0,71.0,1333.0,893.0,10.9,62.1,0.8113
26/03/2004,08.00.00,3.4,1351.0,375.0,16.7,1201.0,239.0,783.0,110.0,1828.0,1307.0,9.8,59.6,0.7214
11/04/2004,02.00.00,1.0,949.0,62.0,3.7,694.0,61.0,1160.0,68.0,1310.0,772.0,9.3,64.3,0.7531
26/04/2004,18.00.00,3.2,1181.0,405.0,13.9,1114.0,147.0,787.0,119.0,1685.0,1032.0,18.3,35.9,0.7501
14/03/2004,05.00.00,1.2,1062.0,32.0,3.7,691.0,53.0,1272.0,70.0,1377.0,929.0,11.5,63.1,0.8533
08/04/2004,11.00.00,2.4,1223.0,308.0,12.7,1075.0,164.0,818.0,112.0,1678.0,1198.0,19.3,34.2,0.7566
29/04/2004,06.00.00,1.5,1097.0,148.0,9.4,956.0,139.0,827.0,68.0,1620.0,1047.0,12.9,66.5,0.9846
15/03/2004,13.00.00,2.9,1417.0,207.0,14.9,1146.0,171.0,830.0,119.0,1831.0,1404.0,23.3,32.2,0.9096
15/03/2004,23.00.00,1.4,1142.0,67.0,6.9,852.0,89.0,1008.0,101.0,1547.0,1164.0,15.3,61.4,1.058
25/04/2004,01.00.00,1.3,984.0,70.0,3.9,707.0,71.0,1131.0,73.0,1359.0,494.0,12.4,64.1,0.9209
14/03/2004,23.00.00,2.2,1349.0,79.0,8.8,933.0,152.0,933.0,119.0,1617.0,1349.0,14.7,55.9,0.9314
28/04/2004,02.00.00,0.6,892.0,51.0,2.8,639.0,41.0,1139.0,64.0,1359.0,803.0,16.5,50.1,0.9331
14/03/2004,20.00.00,5.9,1898.0,341.0,23.1,1381.0,325.0,681.0,173.0,2103.0,1905.0,17.6,46.1,0.921
06/04/2004,06.00.00,1.7,1236.0,120.0,8.5,920.0,164.0,880.0,94.0,1641.0,1012.0,14.4,58.9,0.9594
28/04/2004,00.00.00,1.3,1055.0,101.0,8.0,899.0,72.0,880.0,83.0,1504.0,980.0,17.4,46.3,0.9112
30/04/2004,02.00.00,1.2,1097.0,91.0,5.9,809.0,80.0,897.0,74.0,1628.0,1050.0,15.7,78.4,1.3917
08/04/2004,21.00.00,1.6,1045.0,138.0,7.0,857.0,92.0,968.0,93.0,1410.0,922.0,15.3,41.5,0.7194
10/04/2004,05.00.00,1.0,970.0,89.0,4.0,708.0,81.0,1121.0,55.0,1435.0,842.0,10.2,73.4,0.9129
15/03/2004,01.00.00,1.8,1239.0,73.0,6.9,853.0,106.0,1010.0,93.0,1543.0,1174.0,14.0,57.0,0.9094
11/03/2004,07.00.00,1.1,1144.0,29.0,3.2,667.0,98.0,1490.0,82.0,1339.0,730.0,10.2,59.6,0.7417
31/03/2004,14.00.00,2.6,1349.0,295.0,11.2,1023.0,171.0,804.0,114.0,1748.0,1054.0,13.6,69.2,1.0746
12/03/2004,18.00.00,3.9,1510.0,233.0,19.3,1277.0,206.0,812.0,149.0,1910.0,1410.0,15.1,39.6,0.6766
12/03/2004,17.00.00,2.4,1274.0,133.0,11.7,1041.0,150.0,1006.0,119.0,1610.0,994.0,16.9,34.3,0.6549
22/03/2004,16.00.00,2.3,1076.0,451.0,11.6,1034.0,150.0,964.0,101.0,1544.0,813.0,21.3,24.2,0.606
26/04/2004,11.00.00,1.3,917.0,101.0,5.2,772.0,98.0,1098.0,78.0,1311.0,605.0,18.8,31.7,0.6821
08/04/2004,07.00.00,2.6,1274.0,226.0,13.8,1109.0,161.0,820.0,80.0,1723.0,1138.0,8.1,70.5,0.7627
16/04/2004,07.00.00,4.5,1657.0,523.0,23.2,1384.0,352.0,579.0,109.0,2176.0,1600.0,12.8,71.0,1.0428
05/04/2004,10.00.00,3.1,1461.0,424.0,14.3,1127.0,236.0,703.0,124.0,1836.0,1451.0,15.6,57.4,1.0075
23/03/2004,05.00.00,0.3,834.0,19.0,0.6,459.0,13.0,1908.0,22.0,1212.0,361.0,8.8,80.5,0.9147
11/04/2004,16.00.00,1.0,892.0,66.0,3.2,665.0,55.0,1348.0,58.0,1150.0,394.0,21.0,23.6,0.5788
23/04/2004,20.00.00,4.6,1482.0,692.0,20.8,1319.0,230.0,660.0,146.0,1975.0,1703.0,21.5,40.8,1.0333
23/03/2004,02.00.00,0.7,941.0,47.0,2.5,621.0,51.0,1298.0,70.0,1330.0,714.0,13.0,56.8,0.8444
12/04/2004,16.00.00,1.4,1035.0,69.0,3.1,660.0,96.0,1222.0,82.0,1301.0,533.0,9.9,70.5,0.8581
23/04/2004,21.00.00,1.8,1211.0,145.0,10.9,1010.0,98.0,816.0,98.0,1619.0,1246.0,20.5,41.5,0.9864
26/03/2004,17.00.00,2.3,1180.0,247.0,11.2,1023.0,127.0,886.0,102.0,1588.0,966.0,14.2,43.3,0.6982
16/04/2004,15.00.00,4.0,1485.0,449.0,17.5,1223.0,242.0,650.0,126.0,1980.0,1302.0,14.4,77.4,1.2654
30/03/2004,05.00.00,0.7,956.0,26.0,2.3,605.0,52.0,1341.0,71.0,1117.0,691.0,12.9,33.9,0.5037
08/04/2004,02.00.00,1.1,965.0,83.0,4.1,716.0,56.0,1087.0,72.0,1383.0,827.0,8.2,79.6,0.8672
11/03/2004,11.00.00,1.5,1179.0,43.0,5.0,762.0,95.0,1328.0,92.0,1362.0,671.0,10.5,57.9,0.7352
10/03/2004,21.00.00,2.2,1376.0,80.0,9.2,948.0,172.0,1092.0,122.0,1584.0,1203.0,11.0,60.0,0.7867
02/04/2004,22.00.00,1.9,1287.0,245.0,10.1,982.0,115.0,841.0,124.0,1582.0,1291.0,17.8,47.0,0.9467
26/03/2004,16.00.00,1.9,1093.0,143.0,8.8,933.0,112.0,976.0,87.0,1454.0,777.0,13.4,41.0,0.6292
16/04/2004,04.00.00,1.0,1033.0,70.0,3.6,686.0,63.0,1030.0,69.0,1420.0,948.0,11.9,74.8,1.038
24/04/2004,09.00.00,3.0,1409.0,415.0,15.6,1169.0,188.0,685.0,105.0,1874.0,1459.0,20.0,45.0,1.039
30/03/2004,22.00.00,1.2,1053.0,68.0,3.8,701.0,68.0,1147.0,81.0,1323.0,692.0,15.1,44.6,0.7574
10/04/2004,22.00.00,2.9,1247.0,248.0,11.6,1037.0,187.0,812.0,125.0,1618.0,1193.0,12.3,55.5,0.7916
05/04/2004,15.00.00,2.1,1327.0,256.0,9.8,971.0,124.0,803.0,89.0,1705.0,1120.0,21.6,41.7,1.0606
27/04/2004,20.00.00,3.6,1295.0,555.0,18.9,1266.0,181.0,716.0,137.0,1849.0,1359.0,21.5,34.5,0.8746
