step,train_rmse_step,epoch,valid_rmse,valid_loss,train_loss,train_rmse_epoch,test_loss,test_rmse
4,9.060953140258789,0,,,,,,
9,7.825064659118652,0,,,,,,
14,6.986703872680664,0,,,,,,
16,,0,8.194717407226562,67.15339660644531,,,,
16,,0,,,62.73555374145508,7.729286193847656,,
19,6.213863849639893,1,,,,,,
24,8.949921607971191,1,,,,,,
29,7.846249580383301,1,,,,,,
33,,1,7.683767318725586,59.040283203125,,,,
33,,1,,,56.689815521240234,7.456799507141113,,
34,7.905980110168457,2,,,,,,
39,7.44239616394043,2,,,,,,
44,6.944917678833008,2,,,,,,
49,7.3877668380737305,2,,,,,,
50,,2,8.069716453552246,65.12033081054688,,,,
50,,2,,,55.250179290771484,7.3800153732299805,,
54,7.413206100463867,3,,,,,,
59,8.16083812713623,3,,,,,,
64,6.735314846038818,3,,,,,,
67,,3,7.676691055297852,58.931583404541016,,,,
67,,3,,,54.86079406738281,7.327653408050537,,
69,6.985161781311035,4,,,,,,
74,7.99704122543335,4,,,,,,
79,7.439858913421631,4,,,,,,
84,7.441836357116699,4,,,,,,
84,,4,7.7023115158081055,59.32560348510742,,,,
84,,4,,,54.371925354003906,7.313421726226807,,
89,8.434157371520996,5,,,,,,
94,6.453876972198486,5,,,,,,
99,7.38424825668335,5,,,,,,
101,,5,7.726767063140869,59.70292663574219,,,,
101,,5,,,55.53443908691406,7.3915534019470215,,
104,7.288715362548828,6,,,,,,
109,8.618268013000488,6,,,,,,
114,7.187044143676758,6,,,,,,
118,,6,7.694509983062744,59.20548629760742,,,,
118,,6,,,54.64990234375,7.349538326263428,,
119,8.07358455657959,7,,,,,,
124,5.615298271179199,7,,,,,,
129,9.193612098693848,7,,,,,,
134,6.207098484039307,7,,,,,,
135,,7,7.782041549682617,60.56017303466797,,,,
135,,7,,,55.11087417602539,7.355119228363037,,
139,8.735783576965332,8,,,,,,
144,6.9529876708984375,8,,,,,,
149,7.075296401977539,8,,,,,,
