PT08.S1(CO),PT08.S2(NMHC),PT08.S4(NO2),T,RH,AH,Hour,DayOfWeek,NOx(GT)
1409.0,1322.0,2004.0,26.5,50.2,1.713,9,1,141.0
1011.0,947.0,1425.0,12.6,73.6,1.0699,6,0,141.0
1346.0,1246.0,1907.0,32.6,34.8,1.6872,12,0,353.0
982.0,768.0,1416.0,21.2,61.5,1.5241,2,6,141.0
1123.0,832.0,1565.0,21.2,48.3,1.2034,21,5,65.0
819.0,537.0,1315.0,20.4,71.2,1.6834,7,6,46.0
1348.0,998.0,1689.0,14.6,53.1,0.8765,9,5,147.0
934.0,914.0,1016.0,18.1,20.8,0.4274,15,4,324.0
908.0,701.0,1381.0,24.7,36.4,1.1158,3,6,141.0
716.0,473.0,734.0,4.7,41.4,0.3576,5,1,54.0
1076.0,972.0,1506.0,21.0,57.4,1.4098,21,1,239.0
1084.0,859.0,1017.0,1.5,66.2,0.4571,4,5,272.0
1053.0,895.0,1446.0,17.2,48.6,0.9768,16,3,58.0
1053.0,895.0,1446.0,17.2,48.6,0.9768,12,4,114.0
1287.0,1423.0,2319.0,20.9,49.3,1.2049,7,1,311.0
1590.0,1503.0,1559.0,16.0,38.7,0.6987,15,0,743.0
984.0,851.0,1452.0,16.8,45.6,0.8636,21,2,112.0
1442.0,1301.0,1952.0,15.8,50.3,0.8989,18,4,231.0
933.0,660.0,911.0,9.0,47.3,0.542,16,5,132.0
972.0,804.0,1620.0,25.4,45.5,1.457,1,6,47.0
774.0,441.0,760.0,2.8,54.4,0.411,6,2,42.0
984.0,780.0,1377.0,21.2,61.4,1.5258,1,2,141.0
886.0,608.0,1143.0,14.9,65.3,1.1018,3,4,141.0
1281.0,977.0,1695.0,12.8,81.0,1.1915,23,4,171.0
1057.0,925.0,1503.0,18.0,75.4,1.5441,5,6,139.0
1123.0,1304.0,1720.0,25.0,24.4,0.7616,20,2,141.0
1251.0,1107.0,1657.0,21.3,66.1,1.6556,21,4,297.0
885.0,791.0,1425.0,24.3,41.6,1.2467,21,5,141.0
954.0,561.0,1255.0,10.8,57.2,0.7382,6,2,43.0
1381.0,1199.0,1970.0,17.6,65.0,1.2945,9,4,209.0
1149.0,998.0,1434.0,20.8,45.5,1.1054,16,5,368.0
1211.0,1067.0,1608.0,26.1,47.1,1.5724,14,5,230.0
1218.0,914.0,1291.0,13.7,58.5,0.9146,22,0,308.0
1163.0,1068.0,1616.0,17.8,37.5,0.7568,19,0,135.0
1256.0,1201.0,1251.0,7.2,50.6,0.517,20,0,582.0
1143.0,1119.0,1770.0,31.8,30.5,1.4083,12,1,141.0
798.0,452.0,699.0,3.9,48.1,0.393,3,0,141.0
1130.0,1113.0,1623.0,38.8,17.6,1.1979,16,4,141.0
1427.0,1275.0,1980.0,13.9,57.1,0.9032,10,4,253.0
799.0,613.0,1387.0,21.6,45.7,1.1665,5,0,38.0
1106.0,715.0,1279.0,13.9,80.4,1.2694,3,4,152.0
893.0,587.0,1219.0,10.7,58.2,0.7459,0,1,46.0
809.0,587.0,744.0,3.1,43.3,0.3354,11,0,200.0
1159.0,976.0,1663.0,12.4,64.0,0.9206,8,5,138.0
1425.0,1605.0,1920.0,35.2,16.6,0.9242,18,3,631.0
1468.0,1351.0,1783.0,15.1,74.3,1.2623,22,3,741.0
1329.0,1185.0,1750.0,28.4,26.0,0.9922,16,2,140.0
926.0,649.0,1145.0,14.9,65.7,1.105,1,3,134.0
924.0,643.0,1329.0,19.9,66.1,1.5198,4,3,141.0
1053.0,895.0,1446.0,17.2,48.6,0.9768,1,2,141.0
1441.0,1314.0,1389.0,6.2,56.8,0.5421,22,3,825.0
939.0,918.0,1472.0,26.3,29.0,0.9807,23,2,80.0
1053.0,895.0,1446.0,17.2,48.6,0.9768,19,0,728.0
1022.0,890.0,1499.0,35.3,23.1,1.2989,11,1,141.0
1287.0,936.0,1606.0,12.0,69.7,0.9735,0,4,126.0
949.0,965.0,1041.0,8.7,33.7,0.379,13,1,349.0
1474.0,1326.0,1943.0,23.5,56.2,1.6048,12,4,505.0
862.0,635.0,1193.0,17.2,35.0,0.6789,11,6,58.0
1303.0,1139.0,1761.0,24.7,30.5,0.9371,14,4,152.0
1033.0,881.0,999.0,8.0,39.8,0.4286,21,5,339.0
1135.0,854.0,1065.0,5.3,57.8,0.5177,2,2,222.0
964.0,769.0,1546.0,35.2,32.1,1.7898,18,5,40.0
973.0,728.0,1004.0,3.5,80.8,0.6406,7,5,148.0
1053.0,895.0,1446.0,17.2,48.6,0.9768,23,0,268.0
770.0,586.0,1392.0,20.8,48.5,1.18,4,1,24.0
1458.0,1408.0,1889.0,20.7,55.5,1.3414,11,4,710.0
987.0,628.0,1035.0,3.4,84.5,0.664,6,1,170.0
1107.0,807.0,1546.0,21.0,76.8,1.8881,13,6,214.0
1062.0,909.0,1687.0,33.0,35.4,1.7504,10,2,141.0
1008.0,962.0,1545.0,34.4,19.3,1.0325,13,4,145.0
974.0,790.0,895.0,9.1,32.5,0.3766,21,4,141.0
1184.0,978.0,1425.0,19.6,49.4,1.1176,11,1,346.0
1461.0,1127.0,1836.0,15.6,57.4,1.0075,10,0,236.0
1033.0,934.0,1490.0,15.0,41.7,0.7093,8,0,134.0
1342.0,1102.0,1824.0,17.0,55.1,1.0621,19,6,141.0
1271.0,1188.0,1703.0,25.1,47.6,1.4983,17,2,372.0
1054.0,1110.0,1670.0,25.0,28.7,0.8944,22,4,174.0
1273.0,963.0,1662.0,22.2,38.3,1.0106,16,0,98.0
